iso,H2,H1,AX,L1,L2,CDD
Ar40,5.78908,5.89703,6.01028,6.12507,6.24631,6.35723
Ar39,5.68833,5.78968,5.90261,6.01506,6.13399,6.24373
Ar36,5.36584,5.45854,5.56598,5.67393,5.78897,5.89483
