iso,H2,H1,AX,L1,L2,CDD
Ar40,5.78471,5.8924,6.00355,6.12039,6.24191,6.35286
Ar39,5.89373,5.78508,5.89373,5.89373,5.89373,6.23973
Ar36,5.55753,5.453,5.55753,5.55753,5.55753,5.88918
