parabolic
iso,H2,H1,AX,L1,L2,CDD
Ar40,5.76806,5.87682,5.98855,6.10699,6.23446,6.34125
Ar39,5.65888,5.76778,5.87971,5.99812,6.11718,6.22693
Ar36,5.33376,5.43679,5.54531,5.65392,5.77216,5.88004
