parabolic
iso,H2,H1,AX,L1,L2,CDD
Ar40,5.82525,5.87890,5.99196,6.16517,6.23058,6.39340
Ar39,5.72450,5.77117,5.88438,6.05123,6.11570,6.27990
Ar36,5.40201,5.44018,5.54775,5.71010,5.77068,5.93100
