iso,H2,H1,AX,L1,L2,CDD
Ar40,5.7847281279836436,5.8924138279836438,6.0035714279836432,6.1204043779836432,6.2419299279836435,6.3528814279836432
Ar39,5.8937497449836433,5.7850962279836438,5.8937497449836433,5.8937497449836433,5.8937497449836433,6.2397524279836434
Ar36,5.5575487449836434,5.4530222279836433,5.5575487449836434,5.5575487449836434,5.5575487449836434,5.8891947579836437
