circle,1.25
145
145
-7.239, 14.478
-4.826, 14.478
-2.413, 14.478
0, 14.478
2.413, 14.478
4.826, 14.478
7.239, 14.478
-9.652, 12.065
-7.239, 12.065
-4.826, 12.065
-2.413, 12.065
0, 12.065
2.413, 12.065
4.826, 12.065
7.239, 12.065
9.652, 12.065
-12.065, 9.652
-9.652, 9.652
-7.239, 9.652
-4.826, 9.652
-2.413, 9.652
0, 9.652
2.413, 9.652
4.826, 9.652
7.239, 9.652
9.652, 9.652
12.065, 9.652
-14.478, 7.239
-12.065, 7.239
-9.652, 7.239
-7.239, 7.239
-4.826, 7.239
-2.413, 7.239
0, 7.239
2.413, 7.239
4.826, 7.239
7.239, 7.239
9.652, 7.239
12.065, 7.239
14.478, 7.239
-14.478, 4.826
-12.065, 4.826
-9.652, 4.826
-7.239, 4.826
-4.826, 4.826
-2.413, 4.826
0, 4.826
2.413, 4.826
4.826, 4.826
7.239, 4.826
9.652, 4.826
12.065, 4.826
14.478, 4.826
-14.478, 2.413
-12.065, 2.413
-9.652, 2.413
-7.239, 2.413
-4.826, 2.413
-2.413, 2.413
0, 2.413
2.413, 2.413
4.826, 2.413
7.239, 2.413
9.652, 2.413
12.065, 2.413
14.478, 2.413
-14.478, 0
-12.065, 0
-9.652, 0
-7.239, 0
-4.826, 0
-2.413, 0
0, 0
2.413, 0
4.826, 0
7.239, 0
9.652, 0
12.065, 0
14.478, 0
-14.478, -2.413
-12.065, -2.413
-9.652, -2.413
-7.239, -2.413
-4.826, -2.413
-2.413, -2.413
0, -2.413
2.413, -2.413
4.826, -2.413
7.239, -2.413
9.652, -2.413
12.065, -2.413
14.478, -2.413
-14.478, -4.826
-12.065, -4.826
-9.652, -4.826
-7.239, -4.826
-4.826, -4.826
-2.413, -4.826
0, -4.826
2.413, -4.826
4.826, -4.826
7.239, -4.826
9.652, -4.826
12.065, -4.826
14.478, -4.826
-14.478, -7.239
-12.065, -7.239
-9.652, -7.239
-7.239, -7.239
-4.826, -7.239
-2.413, -7.239
0, -7.239
2.413, -7.239
4.826, -7.239
7.239, -7.239
9.652, -7.239
12.065, -7.239
14.478, -7.239
-12.065, -9.652
-9.652, -9.652
-7.239, -9.652
-4.826, -9.652
-2.413, -9.652
0, -9.652
2.413, -9.652
4.826, -9.652
7.239, -9.652
9.652, -9.652
12.065, -9.652
-9.652, -12.065
-7.239, -12.065
-4.826, -12.065
-2.413, -12.065
0, -12.065
2.413, -12.065
4.826, -12.065
7.239, -12.065
9.652, -12.065
-7.239, -14.478
-4.826, -14.478
-2.413, -14.478
0, -14.478
2.413, -14.478
4.826, -14.478
7.239, -14.478
